Topology,Try,Node,Sequence Number,Timestamp,States Count
China Telecom,3,s3,1,1656873887679,70
China Telecom,3,s3,2,1656873984916,71
China Telecom,3,s3,2,1656873987757,138
China Telecom,3,s3,3,1656874077275,139
China Telecom,3,s3,3,1656874080079,206
China Telecom,3,s3,4,1656874090647,207
China Telecom,3,s3,4,1656874093425,274
China Telecom,3,s31,1,1656873885139,1
China Telecom,3,s31,1,1656873887592,46
China Telecom,3,s31,2,1656873984825,47
China Telecom,3,s31,2,1656873987429,92
China Telecom,3,s31,3,1656874077189,93
China Telecom,3,s31,3,1656874079753,138
China Telecom,3,s31,4,1656874090557,139
China Telecom,3,s31,4,1656874093006,184
China Telecom,3,s33,1,1656873884937,1
China Telecom,3,s33,1,1656873887489,53
China Telecom,3,s33,2,1656873984625,54
China Telecom,3,s33,2,1656873987227,105
China Telecom,3,s33,3,1656874076987,106
China Telecom,3,s33,3,1656874079712,158
China Telecom,3,s33,4,1656874090358,159
China Telecom,3,s33,4,1656874092918,210
China Telecom,3,s35,1,1656873885169,1
China Telecom,3,s35,1,1656873887626,52
China Telecom,3,s35,2,1656873984859,53
China Telecom,3,s35,2,1656873987460,103
China Telecom,3,s35,3,1656874077217,104
China Telecom,3,s35,3,1656874079787,154
China Telecom,3,s35,4,1656874090589,155
China Telecom,3,s35,4,1656874093098,204
China Telecom,3,s19,1,1656873884957,1
China Telecom,3,s19,1,1656873887559,56
China Telecom,3,s19,2,1656873984641,57
China Telecom,3,s19,2,1656873987402,110
China Telecom,3,s19,3,1656874077000,111
China Telecom,3,s19,3,1656874079761,164
China Telecom,3,s19,4,1656874090370,165
China Telecom,3,s19,4,1656874093112,218
China Telecom,3,s27,1,1656873885159,1
China Telecom,3,s27,1,1656873887608,46
China Telecom,3,s27,2,1656873984842,47
China Telecom,3,s27,2,1656873987444,92
China Telecom,3,s27,3,1656874077200,93
China Telecom,3,s27,3,1656874079767,138
China Telecom,3,s27,4,1656874090571,139
China Telecom,3,s27,4,1656874093062,184
China Telecom,3,s10,1,1656873885092,1
China Telecom,3,s10,1,1656873887540,46
China Telecom,3,s10,2,1656873984776,47
China Telecom,3,s10,2,1656873987377,92
China Telecom,3,s10,3,1656874077134,93
China Telecom,3,s10,3,1656874079787,138
China Telecom,3,s10,4,1656874090505,139
China Telecom,3,s10,4,1656874092958,184
China Telecom,3,s15,1,1656873885212,1
China Telecom,3,s15,1,1656873887774,50
China Telecom,3,s15,2,1656873985017,51
China Telecom,3,s15,2,1656873987611,91
China Telecom,3,s15,3,1656874077380,92
China Telecom,3,s15,3,1656874079927,132
China Telecom,3,s15,4,1656874090749,133
China Telecom,3,s15,4,1656874093185,173
China Telecom,3,s7,1,1656873885065,1
China Telecom,3,s7,1,1656873887518,44
China Telecom,3,s7,2,1656873984759,45
China Telecom,3,s7,2,1656873987352,88
China Telecom,3,s7,3,1656874077118,89
China Telecom,3,s7,3,1656874079680,132
China Telecom,3,s7,4,1656874090484,133
China Telecom,3,s7,4,1656874093116,176
China Telecom,3,s29,1,1656873885115,1
China Telecom,3,s29,1,1656873887560,43
China Telecom,3,s29,2,1656873984811,44
China Telecom,3,s29,2,1656873987402,85
China Telecom,3,s29,3,1656874077170,86
China Telecom,3,s29,3,1656874079719,127
China Telecom,3,s29,4,1656874090541,128
China Telecom,3,s29,4,1656874092979,169
China Telecom,3,s1,1,1656873885040,1
China Telecom,3,s1,1,1656873887384,50
China Telecom,3,s1,2,1656873984750,51
China Telecom,3,s1,2,1656873987220,101
China Telecom,3,s1,3,1656874077104,102
China Telecom,3,s1,3,1656874079551,152
China Telecom,3,s1,4,1656874090456,153
China Telecom,3,s1,4,1656874092804,202
China Telecom,3,s9,1,1656873884994,1
China Telecom,3,s9,1,1656873887456,46
China Telecom,3,s9,2,1656873984681,47
China Telecom,3,s9,2,1656873987281,92
China Telecom,3,s9,3,1656874077040,93
China Telecom,3,s9,3,1656874079605,138
China Telecom,3,s9,4,1656874090408,139
China Telecom,3,s9,4,1656874092908,184
China Telecom,3,s21,1,1656873885191,1
China Telecom,3,s21,1,1656873887708,63
